Catégorie : Toutes catégories

Mois,flu: (États-Unis),chest pain: (États-Unis),dyspnea: (États-Unis),arthralgia: (États-Unis),fainting: (États-Unis)
2023-11,16,4,< 1,< 1,< 1
2023-12,22,4,< 1,< 1,< 1
2024-01,18,4,< 1,< 1,< 1
2024-02,16,4,1,< 1,1
2024-03,11,4,< 1,< 1,1
2024-04,9,4,< 1,< 1,1
2024-05,7,4,< 1,< 1,1
2024-06,6,4,< 1,< 1,1
2024-07,5,4,< 1,< 1,1
2024-08,7,4,< 1,< 1,1
2024-09,12,4,< 1,< 1,1
2024-10,15,4,1,< 1,1
