Catégorie : Toutes catégories

Semaine,flu: (Californie),sore throat: (Californie),dyspnea: (Californie),rhinorrhea: (Californie),throwing up: (Californie)
2007-12-30,2,1,0,0,< 1
2008-01-06,2,< 1,0,0,< 1
2008-01-13,1,< 1,0,0,< 1
2008-01-20,2,< 1,< 1,0,< 1
2008-01-27,2,< 1,< 1,0,< 1
2008-02-03,2,1,0,0,< 1
2008-02-10,3,1,< 1,0,< 1
2008-02-17,3,1,< 1,0,< 1
2008-02-24,2,< 1,< 1,0,< 1
2008-03-02,2,< 1,0,0,< 1
2008-03-09,2,< 1,0,0,< 1
2008-03-16,1,< 1,0,0,< 1
2008-03-23,1,< 1,0,0,< 1
2008-03-30,1,< 1,< 1,0,< 1
2008-04-06,1,1,0,0,< 1
2008-04-13,1,< 1,< 1,0,< 1
2008-04-20,1,< 1,< 1,0,< 1
2008-04-27,1,< 1,0,0,< 1
2008-05-04,1,< 1,0,0,< 1
2008-05-11,1,< 1,< 1,0,< 1
2008-05-18,1,< 1,< 1,0,< 1
2008-05-25,1,< 1,0,0,< 1
2008-06-01,1,< 1,0,0,< 1
2008-06-08,1,< 1,0,< 1,< 1
2008-06-15,< 1,< 1,0,0,< 1
2008-06-22,< 1,< 1,0,0,< 1
2008-06-29,1,< 1,0,0,< 1
2008-07-06,< 1,< 1,0,0,< 1
2008-07-13,< 1,< 1,0,0,< 1
2008-07-20,1,< 1,0,0,< 1
2008-07-27,< 1,< 1,0,0,< 1
2008-08-03,1,< 1,< 1,0,< 1
2008-08-10,< 1,< 1,0,0,< 1
2008-08-17,1,< 1,0,0,< 1
2008-08-24,1,< 1,< 1,0,< 1
2008-08-31,1,< 1,0,0,< 1
2008-09-07,1,< 1,0,0,< 1
2008-09-14,1,< 1,< 1,0,< 1
2008-09-21,1,< 1,< 1,0,< 1
2008-09-28,2,< 1,0,0,< 1
2008-10-05,2,< 1,0,0,< 1
2008-10-12,3,< 1,< 1,0,< 1
2008-10-19,3,< 1,0,0,< 1
2008-10-26,3,< 1,< 1,0,< 1
2008-11-02,2,< 1,< 1,0,< 1
2008-11-09,3,< 1,< 1,0,< 1
2008-11-16,2,< 1,0,0,< 1
2008-11-23,1,< 1,< 1,0,< 1
2008-11-30,2,< 1,0,0,< 1
2008-12-07,2,< 1,< 1,0,< 1
2008-12-14,1,< 1,< 1,0,< 1
2008-12-21,1,< 1,0,0,< 1
2008-12-28,1,1,0,0,< 1
2009-01-04,1,< 1,< 1,0,< 1
2009-01-11,1,< 1,< 1,0,< 1
2009-01-18,1,< 1,0,0,< 1
2009-01-25,1,< 1,0,0,< 1
2009-02-01,1,< 1,< 1,0,< 1
2009-02-08,1,< 1,0,0,< 1
2009-02-15,1,1,< 1,0,< 1
2009-02-22,1,< 1,< 1,0,< 1
2009-03-01,1,< 1,< 1,0,< 1
2009-03-08,1,< 1,0,0,< 1
2009-03-15,1,1,< 1,0,< 1
2009-03-22,1,< 1,< 1,0,< 1
2009-03-29,1,< 1,< 1,0,< 1
2009-04-05,1,< 1,0,0,< 1
2009-04-12,1,< 1,< 1,0,< 1
2009-04-19,5,< 1,< 1,0,< 1
2009-04-26,100,1,< 1,< 1,< 1
2009-05-03,20,< 1,0,0,< 1
2009-05-10,8,< 1,< 1,0,< 1
2009-05-17,6,< 1,0,0,< 1
2009-05-24,4,< 1,0,0,< 1
2009-05-31,3,< 1,< 1,0,< 1
2009-06-07,4,< 1,< 1,0,< 1
2009-06-14,4,< 1,< 1,0,< 1
2009-06-21,3,< 1,< 1,0,< 1
2009-06-28,3,< 1,0,0,< 1
2009-07-05,3,< 1,< 1,0,< 1
2009-07-12,3,< 1,0,0,< 1
2009-07-19,3,< 1,< 1,0,< 1
2009-07-26,4,< 1,0,0,< 1
2009-08-02,3,< 1,< 1,0,< 1
2009-08-09,4,< 1,0,0,< 1
2009-08-16,4,< 1,0,0,< 1
2009-08-23,5,< 1,0,0,< 1
2009-08-30,6,< 1,< 1,0,< 1
2009-09-06,7,< 1,0,0,< 1
2009-09-13,7,< 1,< 1,0,< 1
2009-09-20,7,1,< 1,0,< 1
2009-09-27,9,< 1,< 1,0,< 1
2009-10-04,11,1,< 1,0,< 1
2009-10-11,13,< 1,< 1,0,< 1
2009-10-18,16,1,< 1,0,< 1
2009-10-25,18,1,< 1,0,< 1
2009-11-01,15,1,< 1,0,< 1
2009-11-08,10,1,< 1,0,< 1
2009-11-15,7,1,< 1,0,< 1
2009-11-22,5,1,0,0,< 1
2009-11-29,5,1,< 1,0,< 1
2009-12-06,4,< 1,0,0,< 1
2009-12-13,3,1,< 1,0,< 1
2009-12-20,3,1,0,0,< 1
2009-12-27,2,1,0,0,< 1
2010-01-03,3,1,0,0,< 1
2010-01-10,2,< 1,< 1,0,< 1
2010-01-17,1,< 1,< 1,0,< 1
2010-01-24,1,< 1,< 1,0,< 1
2010-01-31,1,< 1,< 1,0,< 1
2010-02-07,1,1,< 1,0,< 1
2010-02-14,1,1,< 1,0,< 1
2010-02-21,1,1,< 1,0,< 1
2010-02-28,1,1,< 1,0,< 1
2010-03-07,1,1,< 1,0,< 1
2010-03-14,1,1,< 1,0,< 1
2010-03-21,1,1,< 1,0,< 1
2010-03-28,1,< 1,< 1,0,< 1
2010-04-04,1,< 1,< 1,0,< 1
2010-04-11,1,< 1,< 1,0,< 1
2010-04-18,1,< 1,< 1,0,< 1
2010-04-25,1,< 1,< 1,0,< 1
2010-05-02,1,< 1,< 1,0,< 1
2010-05-09,1,< 1,< 1,0,< 1
2010-05-16,1,< 1,< 1,0,< 1
2010-05-23,1,< 1,< 1,0,< 1
2010-05-30,1,< 1,< 1,0,< 1
2010-06-06,1,< 1,< 1,0,< 1
2010-06-13,1,< 1,< 1,0,< 1
2010-06-20,< 1,< 1,< 1,0,< 1
2010-06-27,< 1,< 1,< 1,0,< 1
2010-07-04,< 1,< 1,< 1,0,< 1
2010-07-11,1,< 1,< 1,0,< 1
2010-07-18,1,< 1,< 1,0,< 1
2010-07-25,1,< 1,< 1,0,< 1
2010-08-01,1,< 1,< 1,0,< 1
2010-08-08,1,< 1,< 1,0,< 1
2010-08-15,1,< 1,< 1,0,< 1
2010-08-22,1,< 1,< 1,0,< 1
2010-08-29,1,< 1,< 1,0,< 1
2010-09-05,1,< 1,< 1,0,< 1
2010-09-12,1,< 1,< 1,0,< 1
2010-09-19,2,< 1,< 1,0,< 1
2010-09-26,2,< 1,< 1,0,< 1
2010-10-03,2,< 1,< 1,0,< 1
2010-10-10,2,< 1,< 1,0,< 1
2010-10-17,2,< 1,< 1,0,< 1
2010-10-24,2,< 1,< 1,0,< 1
